Analógico;Digital;Configurador;ACO;ARE;CALC;PDP;SIS;SME;UFE
ACO_NE_CJU_BABBC_MVAR.v;ACCS_69P0_CHSC113_S.s;APMCT_230_BA2.c;ACO_NE_CJU_BAARA_MVAR.v;ARE_2MS_SA_MS_IR_STR_MW.v;RTN_BSB_DIN_ANA041.v;RPDP.Geracao.AR.RENASCENCA5;SIS_BR_CALC_PI_ANA2_MW_4.v;SME_NE_BA_AF_REDUC_GERAC_PATAMAR_1H.v;UFE_AM_GE_HID_GDS.v
ACO_NE_CJU_BABBC_MW.v;ACCS_69P0_CHSC114_S.s;APMCT_69P0_BAP.c;ACO_NE_CJU_BAARA_MW.v;ARE_2NO_CA_GLOBAL_MW.v;RTN_BSB_DIN_ANA042.v;RPDP.Geracao.AT.CJMARMELEIRO 2;SIS_BR_CALC_PI_ANA2_MW_5.v;SME_NE_BA_AF_REDUC_GERAC_PATAMAR_1H30M.v;UFE_AM_GE_HID_MW.v
ACO_NE_CJU_BABBS_GDS.v;ACCS_69P0_CHSC115_S.s;APMCT_69P0_BAT.c;ACO_NE_CJU_BAARI_GDS.v;ARE_2NO_CA_GLV_MW.v;RTN_BSB_DIN_ANA043.v;RPDP.Geracao.B1.LDCBLAGOADAPRATA;SIS_BR_CALC_PI_ANA2_MW_6.v;SME_NE_BA_AF_REDUC_GERAC_PROX_PATAMAR.v;UFE_AM_GE_MMGD_MW.v
ACO_NE_CJU_BABBS_MVAR.v;ACCS_69P0_CHSC116_S.s;APMD_69P0_BA02B1.c;ACO_NE_CJU_BAARI_MVAR.v;ARE_2NO_CA_SMMGD_GLOBAL_MW.v;RTN_BSB_DIN_ANA044.v;RPDP.Geracao.BA.BARRA GRANDE;SIS_BR_CALC_PI_ANA2_MW_7.v;SME_NE_BA_AF_RSVGIR_MW.V;UFE_AM_GE_TER_GDS.v
ACO_NE_CJU_BABBS_MW.v;ACCS_69P0_CHSC117_S.s;APQT_69P0_BAA.c;ACO_NE_CJU_BAARI_MW.v;ARE_2NO_CA_TOT_MW.v;RTN_BSB_DIN_ANA045.v;RPDP.Geracao.BB.BEBERIBE;SIS_BR_CALC_PI_ANA2_MW_8.v;SME_NE_BA_APOLONIO_SALES_AF_NUMERO_UNID_CAG.v;UFE_AM_GE_TER_MW.v
ACO_NE_CJU_BABJL_GDS.v;ACCS_69P0_CHSC118_S.s;APQT_69P0_BAP.c;ACO_NE_CJU_BABAB_GDS.v;ARE_2NO_CA_TOT_MW_2.v;RTN_BSB_DIN_ANA046.v;RPDP.Geracao.BB.CJTRAIRI;SIS_BR_CALC_PI_ANA2_MW_9.v;SME_NE_BA_ITAPEBI_US_AF_NUMERO_UNID_CAG.v;UFE_AM_GE_TOT_GDS.v
ACO_NE_CJU_BABJL_MVAR.v;ACCS_69P0_CHSC119_S.s;APSAJ_13P8_BAFIC.c;ACO_NE_CJU_BABAB_MVAR.v;ARE_2NO_GE_EOLICA_MW.v;RTN_BSB_DIN_ANA047.v;RPDP.Geracao.BB.CJUMBURANAS;SIS_BR_CARGAMAX_RECOMP_MW.v;SME_NE_BA_P.DO_CAVALO_AF_NUMERO_UNID_CAG.v;UFE_AM_GE_TOT_MW.v
ACO_NE_CJU_BABJL_MW.v;ACCS_69P0_CHSC11_S.s;APSAJ_13P8_BAFIC1.c;ACO_NE_CJU_BABAB_MW.v;ARE_2NO_GE_HIDRAULICA_MW.v;RTN_BSB_DIN_ANA048.v;RPDP.Geracao.BB.FLEIXEIRAS;SIS_BR_CA_BELEM_NE_PARA_MW.v;SME_NE_BA_P._AFONSO_III_AF_NUMERO_UNID_CAG.v;UFE_AM_M_VALOR_HZ_HZ.v
ACO_NE_CJU_BABJU_GDS.v;ACCS_69P0_CHSC120_S.s;APSAJ_230_BA1.c;ACO_NE_CJU_BABBC_GDS.v;ARE_2NO_GE_SOLAR_FOTOVOLTAICA_MW.v;RTN_BSB_DIN_ANA049.v;RPDP.Geracao.BB.GUAJIRU;SIS_BR_CA_D_ANT_MW.V;SME_NE_BA_P._AFONSO_II_AF_NUMERO_UNID_CAG.v;UFE_DF_CA_GLOBAL_MW.v
ACO_NE_CJU_BABJU_MVAR.v;ACCS_69P0_CHSC12_S.s;APSAJ_230_BA2.c;ACO_NE_CJU_BABBC_MVAR.v;ARE_2NO_GE_TERMICA_MW.v;RTN_BSB_DIN_ANA050.v;RPDP.Geracao.BB.MUNDAU;SIS_BR_CA_PROG_MW.v;SME_NE_BA_P._AFONSO_IV_AF_NUMERO_UNID_CAG.v;UFE_DF_CA_GLV_MW.v
ACO_NE_CJU_BABJU_MW.v;ACCS_69P0_CHSC13_S.s;APSAJ_4P1_BA01.c;ACO_NE_CJU_BABBC_MW.v;ARE_2NO_GE_TOT_MW.v;RTN_BSB_DIN_ANA051.v;RPDP.Geracao.BB.PEDRA DO SAL;SIS_BR_CA_PROPRIA_AUX_MW.v;SME_NE_BA_P._AFONSO_I_AF_NUMERO_UNID_CAG.v;UFE_DF_CA_MET_Brasilia_MW.v
ACO_NE_CJU_BABMC_GDS.v;ACCS_69P0_CHSC14_S.s;APSA_13P8_BA01.c;ACO_NE_CJU_BABBS_GDS.v;ARE_2NO_GLV_TERMICA_MW.v;RTN_BSB_DIN_ANA052.v;RPDP.Geracao.BB.TRAIRI;SIS_BR_CA_PROPRIA_MW.v;SME_NE_BA_U.SOBRADINHO_AF_NUMERO_UNID_CAG.v;UFE_DF_CA_MET_Brasilia_MW_TESTE.v
ACO_NE_CJU_BABMC_MVAR.v;ACCS_69P0_CHSC15_S.s;APSA_13P8_BA02.c;ACO_NE_CJU_BABBS_MVAR.v;ARE_2NO_GLV_TOT_MW.v;RTN_BSB_DIN_ANA053.v;RPDP.Geracao.BC.ANGELINA;SIS_BR_CA_PROPRIA_MW2.v;SME_NE_CA_GLV_MW.v;UFE_DF_CA_SMMGD_GLOBAL_MW.v
ACO_NE_CJU_BABMC_MW.v;ACCS_69P0_CHSC16_S.s;APSA_69P0_BAF1.c;ACO_NE_CJU_BABBS_MW.v;ARE_2OE_CA_GLOBAL_MW.v;RTN_BSB_DIN_ANA054.v;RPDP.Geracao.BC.C.LAJ.GRANDE;SIS_BR_CA_PROPRIA_SME_N_NE_MW.v;SME_NE_CA_MW.v;UFE_DF_CA_TOT_MW.v
ACO_NE_CJU_BABRD_GDS.v;ACCS_69P0_CHSC17_S.s;APSI_13P8_BA1.c;ACO_NE_CJU_BABJL_GDS.v;ARE_2OE_CA_GLV_MW.v;RTN_BSB_DIN_ANA055.v;RPDP.Geracao.BC.CACADOR;SIS_BR_CA_PROPRIA_SME_S_SE_MW.v;SME_NE_CA_PERDAS_MW.v;UFE_DF_GE_MMGD_MW.v
